RSM Zip,"City, ST, Zip",Lat,Long, Factor 
06103,"Hartford, CT 06103", 41.76477 , (72.67012), 1.077 
19401,"Norristown, PA 19401", 40.13042 , (75.33143), 1.076 
01602,"Worcester, MA 01602", 42.27219 , (71.84946), 1.073 
06010,"Bristol, CT 06010", 41.68100 , (72.94065), 1.072 
06051,"New Britain, CT 06051", 41.66519 , (72.76983), 1.071 
55101,"Saint Paul, MN 55101", 44.95111 , (93.08739), 1.068 
19380,"West Chester, PA 19380", 39.98594 , (75.60358), 1.068 
18901,"Doylestown, PA 18901", 40.30529 , (75.15026), 1.068 
06702,"Waterbury, CT 06702", 41.55713 , (73.04539), 1.068 
06226,"Willimantic, CT 06226", 41.70816 , (72.20731), 1.064 
06901,"Stamford, CT 06901", 41.05349 , (73.53845), 1.062 
02301,"Brockton, MA 02301", 42.07791 , (71.04223), 1.062 
02903,"Providence, RI 02903", 41.81902 , (71.41003), 1.061 
06604,"Bridgeport, CT 06604", 41.17684 , (73.20027), 1.060 
06450,"Meriden, CT 06450", 41.53332 , (72.77399), 1.060 
06850,"Norwalk, CT 06850", 41.12630 , (73.44316), 1.059 
19901,"Dover, DE 19901", 39.17335 , (75.47758), 1.058 
06510,"New Haven, CT 06510", 41.30620 , (72.92652), 1.058 
02740,"New Bedford, MA 02740", 41.63802 , (70.93839), 1.056 
89101,"Las Vegas, NV 89101", 36.17279 , (115.12234), 1.056 
02720,"Fall River, MA 02720", 41.73095 , (71.10932), 1.053 
01701,"Framingham, MA 01701", 42.32195 , (71.43796), 1.050 
06320,"New London, CT 06320", 41.35026 , (72.10225), 1.050 
01420,"Fitchburg, MA 01420", 42.58559 , (71.81693), 1.049 
98201,"Everett, WA 98201", 47.99373 , (122.18563), 1.048 
14201,"Buffalo, NY 14201", 42.89706 , (78.88752), 1.047 
19801,"Wilmington, DE 19801", 39.72782 , (75.54615), 1.046 
02840,"Newport, RI 02840", 41.47838 , (71.31993), 1.045 
01103,"Springfield, MA 01103", 42.10443 , (72.58997), 1.043 
02601,"Hyannis, MA 02601", 41.66000 , (70.29327), 1.042 
98402,"Tacoma, WA 98402", 47.25021 , (122.44056), 1.039 
98501,"Olympia, WA 98501", 46.97830 , (122.86989), 1.038 
12202,"Albany, NY 12202", 42.63355 , (73.76300), 1.037 
19702,"Newark, DE 19702", 39.62199 , (75.72803), 1.037 
97201,"Portland, OR 97201", 45.50796 , (122.68959), 1.034 
53202,"Milwaukee, WI 53202", 43.04561 , (87.89893), 1.031 
12302,"Schenectady, NY 12302", 42.88188 , (73.98323), 1.030 
61602,"Peoria, IL 61602", 40.68005 , (89.60395), 1.028 
01301,"Greenfield, MA 01301", 42.62375 , (72.60379), 1.027 
61820,"Champaign, IL 61820", 40.11200 , (88.24423), 1.026 
02532,"Buzzards Bay, MA 02532", 41.75111 , (70.59713), 1.021 
14301,"Niagara Falls, NY 14301", 43.09701 , (79.03726), 1.021 
62521,"Decatur, IL 62521", 39.81435 , (88.93086), 1.020 
01201,"Pittsfield, MA 01201", 42.45614 , (73.28114), 1.020 
62201,"East Saint Louis, IL 62201", 38.63567 , (90.14162), 1.019 
53140,"Kenosha, WI 53140", 42.61963 , (87.82987), 1.018 
61701,"Bloomington, IL 61701", 40.47697 , (88.99278), 1.018 
53402,"Racine, WI 53402", 42.79890 , (87.82385), 1.016 
55802,"Duluth, MN 55802", 46.75267 , (92.08197), 1.015 
56001,"Mankato, MN 56001", 44.13193 , (93.97789), 1.015 
15201,"Pittsburgh, PA 15201", 40.47565 , (79.95389), 1.013 
48201,"Detroit, MI 48201", 42.34706 , (83.06009), 1.013 
62401,"Effingham, IL 62401", 39.11843 , (88.56467), 1.011 
98901,"Yakima, WA 98901", 46.66935 , (120.33816), 1.010 
61401,"Galesburg, IL 61401", 40.94451 , (90.38888), 1.010 
55901,"Rochester, MN 55901", 44.07679 , (92.50180), 1.010 
62701,"Springfield, IL 62701", 39.80063 , (89.64902), 1.009 
18235,"Lehighton, PA 18235", 40.83603 , (75.69200), 1.008 
56201,"Willmar, MN 56201", 45.10181 , (95.04226), 1.006 
98660,"Vancouver, WA 98660", 45.68660 , (122.73152), 1.002 
62801,"Centralia, IL 62801", 38.51097 , (89.14120), 1.002 
53703,"Madison, WI 53703", 43.07981 , (89.37734), 1.001 
97301,"Salem, OR 97301", 44.94948 , (123.00439), 1.001 
18101,"Allentown, PA 18101", 40.60301 , (75.46980), 0.999 
46402,"Gary, IN 46402", 41.61032 , (87.33297), 0.998 
12801,"Glens Falls, NY 12801", 43.31097 , (73.64545), 0.997 
97501,"Medford, OR 97501", 42.28560 , (122.89459), 0.997 
65801,"Springfield, MO 65801", 37.21421 , (93.29521), 0.997 
64101,"Kansas City, MO 64101", 39.10355 , (94.60051), 0.995 
97401,"Eugene, OR 97401", 44.06803 , (123.08171), 0.992 
62901,"Carbondale, IL 62901", 37.74003 , (89.20946), 0.992 
62301,"Quincy, IL 62301", 39.93139 , (91.38741), 0.992 
14604,"Rochester, NY 14604", 43.15690 , (77.60536), 0.991 
97601,"Klamath Falls, OR 97601", 42.44404 , (122.06741), 0.991 
56401,"Brainerd, MN 56401", 46.32259 , (94.11974), 0.990 
13202,"Syracuse, NY 13202", 43.04356 , (76.15065), 0.990 
16201,"Kittanning, PA 16201", 40.80984 , (79.47204), 0.989 
15301,"Washington, PA 15301", 40.16411 , (80.25304), 0.989 
56101,"Windom, MN 56101", 43.88404 , (95.13991), 0.988 
97801,"Pendleton, OR 97801", 45.67317 , (118.83362), 0.988 
97701,"Bend, OR 97701", 44.00065 , (121.03289), 0.987 
13501,"Utica, NY 13501", 43.08138 , (75.22611), 0.981 
12901,"Plattsburgh, NY 12901", 44.70842 , (73.47465), 0.981 
15401,"Uniontown, PA 15401", 39.89914 , (79.74965), 0.980 
54301,"Green Bay, WI 54301", 44.48193 , (88.02029), 0.979 
19601,"Reading, PA 19601", 40.35260 , (75.94080), 0.979 
15601,"Greensburg, PA 15601", 40.31397 , (79.53643), 0.979 
13901,"Binghamton, NY 13901", 42.18253 , (75.88048), 0.978 
53511,"Beloit, WI 53511", 42.54627 , (89.09792), 0.977 
48120,"Dearborn, MI 48120", 42.30524 , (83.17180), 0.976 
16001,"Butler, PA 16001", 40.91049 , (79.94376), 0.975 
14901,"Elmira, NY 14901", 42.07363 , (76.74137), 0.974 
89701,"Carson City, NV 89701", 39.13944 , (119.72087), 0.974 
16101,"New Castle, PA 16101", 40.98776 , (80.28814), 0.971 
05602,"Montpelier, VT 05602", 44.28480 , (72.61498), 0.970 
61201,"Rock Island, IL 61201", 41.47799 , (90.57608), 0.970 
13601,"Watertown, NY 13601", 43.96949 , (75.90965), 0.968 
18360,"Stroudsburg, PA 18360", 40.97254 , (75.28562), 0.967 
15701,"Indiana, PA 15701", 40.62935 , (79.15056), 0.967 
54701,"Eau Claire, WI 54701", 44.74320 , (91.50899), 0.967 
56601,"Bemidji, MN 56601", 47.50985 , (94.84921), 0.966 
05301,"Brattleboro, VT 05301", 42.84346 , (72.65901), 0.966 
05101,"Bellows Falls, VT 05101", 43.17830 , (72.48333), 0.965 
14701,"Jamestown, NY 14701", 42.08091 , (79.25502), 0.965 
98801,"Wenatchee, WA 98801", 47.43183 , (120.34356), 0.964 
66101,"Kansas City, KS 66101", 39.11871 , (94.62592), 0.964 
17101,"Harrisburg, PA 17101", 40.25950 , (76.88705), 0.963 
15901,"Johnstown, PA 15901", 40.32845 , (78.91460), 0.963 
03101,"Manchester, NH 03101", 42.98881 , (71.46590), 0.962 
54601,"La Crosse, WI 54601", 43.80199 , (91.14559), 0.962 
54880,"Superior, WI 54880", 46.59342 , (92.12701), 0.962 
89501,"Reno, NV 89501", 39.52602 , (119.81262), 0.962 
56501,"Detroit Lakes, MN 56501", 46.83665 , (95.82233), 0.961 
16601,"Altoona, PA 16601", 40.55338 , (78.37283), 0.959 
99352,"Richland, WA 99352", 46.24199 , (119.29067), 0.959 
15801,"Du Bois, PA 15801", 41.12867 , (78.72352), 0.957 
25701,"Huntington, WV 25701", 38.36809 , (82.41127), 0.955 
16801,"State College, PA 16801", 40.78538 , (77.84214), 0.954 
26003,"Wheeling, WV 26003", 40.06930 , (80.65080), 0.954 
20001,"Washington, DC 20001", 38.91002 , (77.01800), 0.953 
18503,"Scranton, PA 18503", 41.41007 , (75.66767), 0.953 
03301,"Concord, NH 03301", 43.22423 , (71.54342), 0.953 
05201,"Bennington, VT 05201", 42.87652 , (73.14260), 0.952 
44101,"Cleveland, OH 44101", 41.48988 , (81.67170), 0.951 
48103,"Ann Arbor, MI 48103", 42.25810 , (83.84333), 0.950 
50309,"Des Moines, IA 50309", 41.58448 , (93.62152), 0.950 
56701,"Thief River Falls, MN 56701", 48.12021 , (96.19940), 0.949 
64701,"Harrisonville, MO 64701", 38.62053 , (94.33780), 0.948 
15522,"Bedford, PA 15522", 39.94931 , (78.55173), 0.947 
16501,"Erie, PA 16501", 42.12096 , (80.08958), 0.946 
96915,"Santa Rita, GU 96915", 13.37526 , 144.70714 , 0.946 
26301,"Clarksburg, WV 26301", 39.28629 , (80.37735), 0.944 
26501,"Morgantown, WV 26501", 39.62872 , (80.04025), 0.943 
25301,"Charleston, WV 25301", 38.35123 , (81.62761), 0.943 
22301,"Alexandria, VA 22301", 38.81995 , (77.05934), 0.942 
26201,"Buckhannon, WV 26201", 39.00082 , (80.20249), 0.942 
03060,"Nashua, NH 03060", 42.74135 , (71.45936), 0.941 
04101,"Portland, ME 04101", 43.66240 , (70.25860), 0.941 
17401,"York, PA 17401", 39.95893 , (76.73359), 0.940 
16701,"Bradford, PA 16701", 41.91105 , (78.77385), 0.940 
83501,"Lewiston, ID 83501", 46.22830 , (116.90608), 0.939 
26757,"Romney, WV 26757", 39.31652 , (78.75001), 0.939 
99201,"Spokane, WA 99201", 47.66271 , (117.43609), 0.938 
