Id,Brand,Rooms,Floors,Rooms/ Typ_Floor,KS,QQ,K1,ADA, Total Building GSF ,, Construction_Costs , Building_Cost , 03_Concrete , 04_Masonry , 05_Metal , 06_Wood_Plastics , 07_Thermal_Moisture , 08_Openings , 09_Finishes , 10_Specialties , 11_Equipment , 12_Furnishing , 13_Special_Construction , 14_Conveying_Equipment , 21_Fire , 22_Plumbing , 23_HVAC , 26_Electrical , Site_Work , 31_Earthwork , 32_Exteriors , 33_Utilities , GC_Charges , 01_General_Requirements , Charges_Fees 
Home2-152-3,Home2,152,3,55,128,12,12,11," 81,967.23 ",," $22,762,876 "," $16,525,560 "," $668,934 "," $204,733 "," $1,168,680 "," $3,010,081 "," $1,009,990 "," $967,579 "," $3,224,699 ", $-   ," $114,000 "," $737,277 "," $234,910 "," $248,468 "," $363,576 "," $1,881,834 "," $876,066 "," $1,814,734 "," $2,628,639 "," $678,187 "," $965,681 "," $984,771 "," $3,608,677 "," $1,221,517 "," $2,387,160 "
Home2-155-3,Home2,155,3,56,131,12,12,11," 83,316.75 ",," $23,116,354 "," $16,778,827 "," $678,951 "," $206,135 "," $1,182,210 "," $3,058,655 "," $1,026,417 "," $982,153 "," $3,281,516 ", $-   ," $114,000 "," $750,842 "," $234,910 "," $248,468 "," $369,280 "," $1,914,444 "," $886,566 "," $1,844,282 "," $2,672,789 "," $689,544 "," $981,917 "," $1,001,328 "," $3,664,738 "," $1,240,484 "," $2,424,253 "
Home2-158-3,Home2,158,3,57,134,12,12,11," 84,666.27 ",," $23,469,854 "," $17,032,114 "," $688,968 "," $207,536 "," $1,195,742 "," $3,107,229 "," $1,042,848 "," $996,727 "," $3,338,344 ", $-   ," $114,000 "," $764,406 "," $234,910 "," $248,468 "," $374,984 "," $1,947,054 "," $897,066 "," $1,873,831 "," $2,716,939 "," $700,902 "," $998,153 "," $1,017,885 "," $3,720,802 "," $1,259,453 "," $2,461,349 "
Home2-161-3,Home2,161,3,58,137,12,12,11," 86,015.79 ",," $23,825,197 "," $17,286,952 "," $698,986 "," $208,939 "," $1,209,276 "," $3,156,182 "," $1,059,273 "," $1,012,500 "," $3,395,151 ", $-   ," $114,000 "," $777,971 "," $234,910 "," $248,468 "," $380,688 "," $1,979,665 "," $907,566 "," $1,903,379 "," $2,761,089 "," $712,259 "," $1,014,388 "," $1,034,441 "," $3,777,156 "," $1,278,520 "," $2,498,636 "
Home2-164-3,Home2,164,3,59,140,12,12,11," 87,365.31 ",," $24,178,698 "," $17,540,239 "," $709,004 "," $210,341 "," $1,222,811 "," $3,204,758 "," $1,075,703 "," $1,027,074 "," $3,451,974 ", $-   ," $114,000 "," $791,536 "," $234,910 "," $248,468 "," $386,392 "," $2,012,275 "," $918,066 "," $1,932,928 "," $2,805,238 "," $723,616 "," $1,030,624 "," $1,050,998 "," $3,833,220 "," $1,297,488 "," $2,535,732 "
Home2-167-3,Home2,167,3,60,143,12,12,11," 88,714.83 ",," $24,532,204 "," $17,793,530 "," $719,022 "," $211,743 "," $1,236,348 "," $3,253,336 "," $1,092,134 "," $1,041,647 "," $3,508,798 ", $-   ," $114,000 "," $805,100 "," $234,910 "," $248,468 "," $392,096 "," $2,044,886 "," $928,566 "," $1,962,476 "," $2,849,388 "," $734,973 "," $1,046,860 "," $1,067,555 "," $3,889,285 "," $1,316,457 "," $2,572,828 "
Home2-170-3,Home2,170,3,61,146,12,12,11," 90,064.35 ",," $24,885,689 "," $18,046,804 "," $729,041 "," $213,146 "," $1,249,886 "," $3,301,914 "," $1,108,560 "," $1,056,221 "," $3,565,606 ", $-   ," $114,000 "," $818,665 "," $234,910 "," $248,468 "," $397,800 "," $2,077,496 "," $939,066 "," $1,992,025 "," $2,893,538 "," $746,330 "," $1,063,096 "," $1,084,112 "," $3,945,347 "," $1,335,425 "," $2,609,923 "
Home2-173-3,Home2,173,3,62,146,12,15,11," 92,154.55 ",," $25,376,660 "," $18,391,431 "," $745,680 "," $216,046 "," $1,276,213 "," $3,372,393 "," $1,134,867 "," $1,071,994 "," $3,637,065 ", $-   ," $114,000 "," $832,230 "," $234,910 "," $248,468 "," $406,635 "," $2,110,106 "," $957,816 "," $2,033,008 "," $2,961,952 "," $763,953 "," $1,088,243 "," $1,109,756 "," $4,023,277 "," $1,361,765 "," $2,661,512 "
Home2-176-3,Home2,176,3,63,149,12,15,11," 93,504.07 ",," $25,730,170 "," $18,644,725 "," $755,699 "," $217,449 "," $1,289,753 "," $3,420,973 "," $1,151,298 "," $1,086,568 "," $3,693,886 ", $-   ," $114,000 "," $845,794 "," $234,910 "," $248,468 "," $412,339 "," $2,142,717 "," $968,316 "," $2,062,556 "," $3,006,102 "," $775,311 "," $1,104,479 "," $1,126,312 "," $4,079,343 "," $1,380,734 "," $2,698,609 "
Home2-179-3,Home2,179,3,64,152,12,15,11," 94,853.59 ",," $26,083,687 "," $18,898,026 "," $765,718 "," $218,852 "," $1,303,294 "," $3,469,553 "," $1,167,729 "," $1,101,142 "," $3,750,711 ", $-   ," $114,000 "," $859,359 "," $234,910 "," $248,468 "," $418,043 "," $2,175,327 "," $978,816 "," $2,092,105 "," $3,050,252 "," $786,668 "," $1,120,714 "," $1,142,869 "," $4,135,410 "," $1,399,703 "," $2,735,706 "
